字頭,字頭,補充,古韻,擬音,,,,
轠,轠,,微,ɔl,,,,
靁,靁,,微,ɔl,,,,
㶟,㶟,,微,ɔl,,,,
纍（大索）,纍,（大索）,微,ɔl,,,,
虆,虆,,微,ɔl,,,,
欙,欙,,微,ɔl,,,,
𡤯,𡤯,,微,ɔl,,,,
儽,儽,,微,ɔl,,,,
纝,纝,,微,ɔl,,,,
縲,縲,,微,ɔl,,,,
蔂,蔂,,微,ɔl,,,,
𣚎,𣚎,,微,ɔl,,,,
樏,樏,,微,ɔl,,,,
嫘,嫘,,微,ɔl,,,,
㔣,㔣,,微,ɔl,,,,
壘（重疊）,壘,（重疊）,微,ɔl,,,,
羸,羸,,歌,ʌl,,,,
𡰠（𡰟）,𡰠,（𡰟）,歌,ʌl,,,,
磥,磥,,微,ɔl,,,,
磊,磊,,微,ɔl,,,,
䣂,䣂,,微,ɔl,,,,
𡼊,𡼊,,微,ɔl,,,,
𨻌,𨻌,,微,ɔl,,,,
頛,頛,,微,ɔl,,,,
櫑（櫑具，劍名）,櫑,（櫑具，劍名）,微,ɔl,,,,
𡻭,𡻭,,微,ɔl,,,,
傫,傫,,微,ɔl,,,,
鑸,鑸,,微,ɔl,,,,
纍（積累）,纍,（積累）,微,ɔl,,,,
礨,礨,,微,ɔl,,,,
灅,灅,,微,ɔl,,,,
壘（軍壘）,壘,（軍壘）,微,ɔl,,,,
蘽,蘽,,微,ɔl,,,,
鸓,鸓,,微,ɔl,,,,
藟,藟,,微,ɔl,,,,
誄,誄,,微,ɔl,,,,
耒,耒,,微,ɔl,,,,
讄,讄,,微,ɔl,,,,
絫,絫,,微,ɔl,,,,
累（積累）,累,（積累）,微,ɔl,,,,
厽,厽,,微,ɔl,,,,
垒,垒,,微,ɔl,,,,
肋,肋,,職,ɔɪk,,,,
淚,淚,,質,ət,,,,
䒹,䒹,,微,ɔl,,,,
礧,礧,,微,ɔl,,,,
累（勞累）,累,（勞累）,微,ɔl,,,,
纍（係，連累）,纍,（係，連累）,微,ɔl,,,,
纇,纇,,物,ɔt,,,,
蘱,蘱,,物,ɔt,,,,
頪,頪,,物,ɔt,,,,
類,類,,物,ɔt,,,,
禷,禷,,物,ɔt,,,,
酹,酹,,月,ʌt,,,,
桮,桮,,之,ɔɪ,,,,
杯,杯,,之,ɔɪ,,,,
盃,盃,,之,ɔɪ,,,,
卑,卑,,支,ə,,,,
鵯,鵯,,支,ə,,,,
椑（木名）,椑,（木名）,支,ə,,,,
𩔹,𩔹,,支,ə,,,,
錍,錍,,支,ə,,,,
碑,碑,,支,ə,,,,
㗗,㗗,,支,ə,,,,
悲,悲,,微,ɔl,,,,
陂（斜坡）,陂,（斜坡）,歌,ʌl,,,,
襬,襬,,歌,ʌl,,,,
藣,藣,,歌,ʌl,,,,
䥯,䥯,,歌,ʌl,,,,
北,北,,職,ɔɪk,,,,
倍,倍,,之,ɔɪ,,,,
菩（草名）,菩,（草名）,之,ɔɪ,,,,
憊,憊,,職,ɔɪk,,,,
備,備,,職,ɔɪk,,,,
𤰇,𤰇,,職,ɔɪk,,,,
𤰈,𤰈,,職,ɔɪk,,,,
糒,糒,,職,ɔɪk,,,,
𣖾,𣖾,,職,ɔɪk,,,,
背（脊背）,背,（脊背）,職,ɔɪk,,,,
邶,邶,,職,ɔɪk,,,,
偝,偝,,職,ɔɪk,,,,
背（弃）,背,（弃）,職,ɔɪk,,,,
埤（濕地）,埤,（濕地）,支,ə,,,,
輩,輩,,微,ɔl,,,,
孛（臉變色）,孛,（臉變色）,物,ɔt,,,,
誖,誖,,物,ɔt,,,,
悖（悖逆）,悖,（悖逆）,物,ɔt,,,,
被,被,,歌,ʌl,,,,
鞁,鞁,,歌,ʌl,,,,
貝,貝,,月,ʌt,,,,
䟺,䟺,,月,ʌt,,,,
狽,狽,,月,ʌt,,,,
㸬,㸬,,月,ʌt,,,,
䰽,䰽,,月,ʌt,,,,
拔（木生枝葉）,拔,（木生枝葉）,月,ʌt,,,,
茇（茇茇）,茇,（茇茇）,月,ʌt,,,,
肧（胚）,肧,（胚）,之,ɔɪ,,,,
醅,醅,,之,ɔɪ,,,,
衃,衃,,之,ɔɪ,,,,
坏（未燒瓦）,坏,（未燒瓦）,之,ɔɪ,,,,
培,培,,之,ɔɪ,,,,
陪,陪,,之,ɔɪ,,,,
棓（姓）,棓,（姓）,之,ɔɪ,,,,
𩑢,𩑢,,之,ɔɪ,,,,
阫,阫,,之,ɔɪ,,,,
坏（用泥塗牆）,坏,（用泥塗牆）,之,ɔɪ,,,,
䣙,䣙,,蒸,ɔɪŋ,,,,
䣙,䣙,,蒸,ɔɪŋ,,,,
裴,裴,,微,ɔl,,,,
𨛬,𨛬,,微,ɔl,,,,
佩,佩,,之,ɔɪ,,,,
珮,珮,,之,ɔɪ,,,,
轡,轡,,質,ət,,,,
配,配,,微,ɔl,,,,
妃（婚配）,妃,（婚配）,微,ɔl,,,,
嶏,嶏,,微,ɔl,,,,
沛（郡名，姓）,沛,（郡名，姓）,月,ʌt,,,,
𨙶,𨙶,,月,ʌt,,,,
茷（茂盛也）,茷,（茂盛也）,月,ʌt,,,,
浿,浿,,月,ʌt,,,,
沛（水名，水盛）,沛,（水名，水盛）,月,ʌt,,,,
㤄,㤄,,月,ʌt,,,,
肺（肺肺，茂盛）,肺,（肺肺，茂盛）,月,ʌt,,,,
旆,旆,,月,ʌt,,,,
梅,梅,,之,ɔɪ,,,,
媒（媒人）,媒,（媒人）,之,ɔɪ,,,,
煤（煙塵）,煤,（煙塵）,之,ɔɪ,,,,
脢,脢,,之,ɔɪ,,,,
脄,脄,,之,ɔɪ,,,,
腜,腜,,之,ɔɪ,,,,
禖,禖,,之,ɔɪ,,,,
䍙,䍙,,之,ɔɪ,,,,
莓,莓,,之,ɔɪ,,,,
鋂,鋂,,之,ɔɪ,,,,
某（梅）,某,（梅）,之,ɔɪ,,,,
眉,眉,,脂,əl,,,,
湄,湄,,脂,əl,,,,
楣,楣,,脂,əl,,,,
瑂,瑂,,脂,əl,,,,
黴（霉）,黴,（霉）,脂,əl,,,,
郿,郿,,脂,əl,,,,
𣟸,𣟸,,脂,əl,,,,
堳,堳,,脂,əl,,,,
枚,枚,,微,ɔl,,,,
玟（玫瑰，寶石）,玟,（玫瑰，寶石）,微,ɔl,,,,
玫（玫瑰）,玫,（玫瑰）,微,ɔl,,,,
塺,塺,,歌,ʌl,,,,
每,每,,之,ɔɪ,,,,
苺,苺,,之,ɔɪ,,,,
美,美,,脂,əl,,,,
媺,媺,,脂,əl,,,,
媄,媄,,脂,əl,,,,
浼（玷污）,浼,（玷污）,元,ʌn,,,,
浼（玷污）,浼,（玷污）,元,ʌn,,,,
痗,痗,,之,ɔɪ,,,,
媒（媒媒，晦貌）,媒,（媒媒，晦貌）,之,ɔɪ,,,,
嚜（嚜杘）,嚜,（嚜杘）,職,ɔɪk,,,,
媚,媚,,脂,əl,,,,
䉋,䉋,,脂,əl,,,,
沬（地名）,沬,（地名）,物,ɔt,,,,
䀛（目遠視）,䀛,（目遠視）,物,ɔt,,,,
韎,韎,,物,ɔt,,,,
魅,魅,,物,ɔt,,,,
鬽,鬽,,物,ɔt,,,,
祙,祙,,物,ɔt,,,,
寐,寐,,物,ɔt,,,,
妹,妹,,物,ɔt,,,,
昧,昧,,物,ɔt,,,,
眛,眛,,物,ɔt,,,,
袂,袂,,月,ʌt,,,,
飛,飛,,微,ɔl,,,,
扉,扉,,微,ɔl,,,,
非,非,,微,ɔl,,,,
騛,騛,,微,ɔl,,,,
騑,騑,,微,ɔl,,,,
霏,霏,,微,ɔl,,,,
䬠,䬠,,微,ɔl,,,,
妃（配偶）,妃,（配偶）,微,ɔl,,,,
菲（芳菲）,菲,（芳菲）,微,ɔl,,,,
婓,婓,,微,ɔl,,,,
裶,裶,,微,ɔl,,,,
𥇖,𥇖,,微,ɔl,,,,
肥（𦘺）,肥,（𦘺）,微,ɔl,,,,
腓,腓,,微,ɔl,,,,
痱,痱,,微,ɔl,,,,
蜰,蜰,,微,ɔl,,,,
蟦,蟦,,微,ɔl,,,,
厞,厞,,微,ɔl,,,,
誹,誹,,微,ɔl,,,,
誹,誹,,微,ɔl,,,,
匪,匪,,微,ɔl,,,,
篚,篚,,微,ɔl,,,,
棐,棐,,微,ɔl,,,,
餥,餥,,微,ɔl,,,,
蜚,蜚,,微,ɔl,,,,
斐,斐,,微,ɔl,,,,
菲（薄也，草名）,菲,（薄也，草名）,微,ɔl,,,,
悱,悱,,微,ɔl,,,,
翡,翡,,微,ɔl,,,,
𡌦,𡌦,,微,ɔl,,,,
朏,朏,,物,ɔt,,,,
陫,陫,,微,ɔl,,,,
㹃,㹃,,微,ɔl,,,,
屝,屝,,微,ɔl,,,,
萉,萉,,微,ɔl,,,,
䠊,䠊,,微,ɔl,,,,
䆏,䆏,,微,ɔl,,,,
剕,剕,,微,ɔl,,,,
蕡（大麻子）,蕡,（大麻子）,微,ɔl,,,,
俷,俷,,微,ɔl,,,,
沸,沸,,物,ɔt,,,,
疿,疿,,物,ɔt,,,,
𩰾,𩰾,,物,ɔt,,,,
𥝋（𥝈）,𥝋,（𥝈）,物,ɔt,,,,
狒,狒,,物,ɔt,,,,
怫（怫㥜）,怫,（怫㥜）,物,ɔt,,,,
費（花費）,費,（花費）,物,ɔt,,,,
𣙿,𣙿,,物,ɔt,,,,
昲,昲,,物,ɔt,,,,
䰁,䰁,,物,ɔt,,,,
㩌,㩌,,物,ɔt,,,,
𥜿,𥜿,,物,ɔt,,,,
芾（小貌）,芾,（小貌）,月,ʌt,,,,
廢,廢,,月,ʌt,,,,
癈,癈,,月,ʌt,,,,
䚨,䚨,,月,ʌt,,,,
櫠,櫠,,月,ʌt,,,,
肺,肺,,月,ʌt,,,,
杮,杮,,月,ʌt,,,,
吠,吠,,月,ʌt,,,,
危,危,,支,ə,,,,
隈,隈,,微,ɔl,,,,
煨,煨,,微,ɔl,,,,
渨,渨,,微,ɔl,,,,
椳,椳,,微,ɔl,,,,
偎,偎,,微,ɔl,,,,
𧤖,𧤖,,微,ɔl,,,,
崴,崴,,微,ɔl,,,,
威,威,,微,ɔl,,,,
葳,葳,,微,ɔl,,,,
楲,楲,,微,ɔl,,,,
微,微,,微,ɔl,,,,
溦,溦,,微,ɔl,,,,
薇,薇,,微,ɔl,,,,
逶,逶,,歌,ʌl,,,,
𣨙,𣨙,,歌,ʌl,,,,
萎*,萎*,,歌,ʌl,,,,
覣,覣,,歌,ʌl,,,,
蜲,蜲,,歌,ʌl,,,,
倭（順貌）,倭,（順貌）,歌,ʌl,,,,
委（委佗）,委,（委佗）,歌,ʌl,,,,
㕒,㕒,,歌,ʌl,,,,
危*,危*,,支,ə,,,,
洈,洈,,支,ə,,,,
峗,峗,,支,ə,,,,
嵬,嵬,,微,ɔl,,,,
帷,帷,,微,ɔl,,,,
幃,幃,,微,ɔl,,,,
韋,韋,,微,ɔl,,,,
闈,闈,,微,ɔl,,,,
圍,圍,,微,ɔl,,,,
䙟,䙟,,微,ɔl,,,,
違,違,,微,ɔl,,,,
湋,湋,,微,ɔl,,,,
囗,囗,,微,ɔl,,,,
潿,潿,,微,ɔl,,,,
𢾁（𢾝）,𢾁,（𢾝）,微,ɔl,,,,
𩏏,𩏏,,微,ɔl,,,,
惟,惟,,微,ɔl,,,,
維,維,,微,ɔl,,,,
濰,濰,,微,ɔl,,,,
蓶,蓶,,微,ɔl,,,,
琟,琟,,微,ɔl,,,,
唯（獨）,唯,（獨）,微,ɔl,,,,
𧔥,𧔥,,微,ɔl,,,,
巍,巍,,微,ɔl,,,,
犩,犩,,微,ɔl,,,,
微*,微*,,微,ɔl,,,,
𣁋,𣁋,,微,ɔl,,,,
溦*,溦*,,微,ɔl,,,,
薇*,薇*,,微,ɔl,,,,
䉠,䉠,,微,ɔl,,,,
𧸮,𧸮,,微,ɔl,,,,
爲（作爲）,爲,（作爲）,歌,ʌl,,,,
為,為,,歌,ʌl,,,,
鄬,鄬,,歌,ʌl,,,,
䔺,䔺,,歌,ʌl,,,,
洧,洧,,之,ɔɪ,,,,
鮪,鮪,,之,ɔɪ,,,,
痏,痏,,之,ɔɪ,,,,
䵋,䵋,,之,ɔɪ,,,,
𤼒,𤼒,,支,ə,,,,
猥,猥,,微,ɔl,,,,
腲,腲,,微,ɔl,,,,
鍡,鍡,,微,ɔl,,,,
碨,碨,,微,ɔl,,,,
隗,隗,,微,ɔl,,,,
芛,芛,,微,ɔl,,,,
磈,磈,,微,ɔl,,,,
嵔（㟪）,嵔,（㟪）,微,ɔl,,,,
韙,韙,,微,ɔl,,,,
煒,煒,,微,ɔl,,,,
偉,偉,,微,ɔl,,,,
瑋,瑋,,微,ɔl,,,,
葦,葦,,微,ɔl,,,,
椲,椲,,微,ɔl,,,,
韡,韡,,微,ɔl,,,,
媁,媁,,微,ɔl,,,,
愇,愇,,微,ɔl,,,,
唯（答應聲）,唯,（答應聲）,微,ɔl,,,,
壝,壝,,微,ɔl,,,,
尾,尾,,微,ɔl,,,,
亹（美也）,亹,（美也）,微,ɔl,,,,
娓,娓,,微,ɔl,,,,
緯,緯,,微,ɔl,,,,
緯,緯,,微,ɔl,,,,
頠,頠,,歌,ʌl,,,,
萎,萎,,歌,ʌl,,,,
痿,痿,,歌,ʌl,,,,
委（託付）,委,（託付）,歌,ʌl,,,,
諉,諉,,歌,ʌl,,,,
骫,骫,,歌,ʌl,,,,
蔿（蒍）,蔿,（蒍）,歌,ʌl,,,,
蘤,蘤,,歌,ʌl,,,,
𤺉,𤺉,,歌,ʌl,,,,
䦱,䦱,,歌,ʌl,,,,
薳,薳,,歌,ʌl,,,,
寪,寪,,歌,ʌl,,,,
䝐,䝐,,歌,ʌl,,,,
𤾸,𤾸,,歌,ʌl,,,,
厃,厃,,歌,ʌl,,,,
僞,僞,,歌,ʌl,,,,
磑,磑,,微,ɔl,,,,
畏,畏,,微,ɔl,,,,
遺（贈也）,遺,（贈也）,微,ɔl,,,,
蜼,蜼,,微,ɔl,,,,
䗽,䗽,,微,ɔl,,,,
魏（巍）,魏,（巍）,微,ɔl,,,,
尉（武職）,尉,（武職）,物,ɔt,,,,
熨（熱敷）,熨,（熱敷）,物,ɔt,,,,
慰,慰,,物,ɔt,,,,
罻,罻,,物,ɔt,,,,
犚,犚,,物,ɔt,,,,
蔚,蔚,,物,ɔt,,,,
螱,螱,,物,ɔt,,,,
褽,褽,,物,ɔt,,,,
尉（燙平布帛，今音yùn）,尉,（燙平布帛，今音yùn）,物,ɔt,,,,
胃,胃,,物,ɔt,,,,
謂,謂,,物,ɔt,,,,
媦,媦,,物,ɔt,,,,
蝟,蝟,,物,ɔt,,,,
渭,渭,,物,ɔt,,,,
煟,煟,,物,ɔt,,,,
緭,緭,,物,ɔt,,,,
䬑,䬑,,物,ɔt,,,,
未,未,,物,ɔt,,,,
味,味,,物,ɔt,,,,
菋,菋,,物,ɔt,,,,
餧（餵）,餧,（餵）,歌,ʌl,,,,
䍴,䍴,,歌,ʌl,,,,
爲（幫助，給）,爲,（幫助，給）,歌,ʌl,,,,
躗（僞）,躗,（僞）,月,ʌt,,,,
穢*,穢*,,月,ʌt,,,,
薉*,薉*,,月,ʌt,,,,
饖*,饖*,,月,ʌt,,,,
衛,衛,,月,ʌt,,,,
軎,軎,,月,ʌt,,,,
轊,轊,,月,ʌt,,,,
㦣,㦣,,月,ʌt,,,,
讆,讆,,月,ʌt,,,,
𤜂,𤜂,,月,ʌt,,,,
熭,熭,,月,ʌt,,,,
躗（踶也）,躗,（踶也）,月,ʌt,,,,
鏏,鏏,,月,ʌt,,,,
位,位,,緝,ɔp,,,,
龜,龜,,之,ɔɪ,,,,
𩓸,𩓸,,支,ə,,,,
規,規,,支,ə,,,,
鬹,鬹,,支,ə,,,,
摫,摫,,支,ə,,,,
嫢,嫢,,支,ə,,,,
瞡,瞡,,支,ə,,,,
圭,圭,,支,ə,,,,
珪,珪,,支,ə,,,,
邽,邽,,支,ə,,,,
閨,閨,,支,ə,,,,
袿,袿,,支,ə,,,,
窐,窐,,支,ə,,,,
鮭,鮭,,支,ə,,,,
𪊧,𪊧,,支,ə,,,,
洼（姓）,洼,（姓）,支,ə,,,,
𦓯,𦓯,,支,ə,,,,
茥,茥,,支,ə,,,,
巂（烏名）,巂,（烏名）,支,ə,,,,
眭,眭,,支,ə,,,,
傀（大也）,傀,（大也）,微,ɔl,,,,
瑰,瑰,,微,ɔl,,,,
瓌,瓌,,微,ɔl,,,,
櫰,櫰,,微,ɔl,,,,
廆,廆,,微,ɔl,,,,
歸（出嫁，歸還）,歸,（出嫁，歸還）,微,ɔl,,,,
㱕,㱕,,微,ɔl,,,,
螝,螝,,微,ɔl,,,,
騩,騩,,微,ɔl,,,,
嬀（媯）,嬀,（媯）,歌,ʌl,,,,
軌,軌,,幽,ɔ,,,,
簋,簋,,幽,ɔ,,,,
朹,朹,,幽,ɔ,,,,
晷,晷,,幽,ɔ,,,,
厬,厬,,幽,ɔ,,,,
宄,宄,,幽,ɔ,,,,
匭,匭,,幽,ɔ,,,,
氿,氿,,幽,ɔ,,,,
詭,詭,,支,ə,,,,
垝（壞牆）,垝,（壞牆）,支,ə,,,,
陒,陒,,支,ə,,,,
䣀,䣀,,支,ə,,,,
䤥,䤥,,支,ə,,,,
觤,觤,,支,ə,,,,
恑,恑,,支,ə,,,,
蛫,蛫,,支,ə,,,,
祪,祪,,支,ə,,,,
庪,庪,,支,ə,,,,
庋,庋,,支,ə,,,,
蟡,蟡,,支,ə,,,,
姽,姽,,支,ə,,,,
佹,佹,,支,ə,,,,
癸,癸,,脂,əl,,,,
湀,湀,,脂,əl,,,,
鬼,鬼,,微,ɔl,,,,
槶,槶,,之,ɔɪ,,,,
垝（土臺）,垝,（土臺）,支,ə,,,,
跪,跪,,支,ə,,,,
桂,桂,,支,ə,,,,
炅（姓）,炅,（姓）,支,ə,,,,
䳏,䳏,,支,ə,,,,
刏,刏,,物,ɔt,,,,
貴,貴,,物,ɔt,,,,
匱,匱,,物,ɔt,,,,
櫃,櫃,,物,ɔt,,,,
鐀,鐀,,物,ɔt,,,,
䞈,䞈,,歌,ʌl,,,,
襘,襘,,月,ʌt,,,,
禬,禬,,月,ʌt,,,,
檜,檜,,月,ʌt,,,,
劊,劊,,月,ʌt,,,,
劌,劌,,月,ʌt,,,,
鱖（桂魚）,鱖,（桂魚）,月,ʌt,,,,
蹶（動也）,蹶,（動也）,月,ʌt,,,,
撅（揭起衣服）,撅,（揭起衣服）,月,ʌt,,,,
悝（嘲戲）,悝,（嘲戲）,之,ɔɪ,,,,
闚,闚,,支,ə,,,,
窺,窺,,支,ə,,,,
刲,刲,,支,ə,,,,
䖯,䖯,,支,ə,,,,
𡐠,𡐠,,支,ə,,,,
巋（小山羅列貌）,巋,（小山羅列貌）,微,ɔl,,,,
蘬,蘬,,微,ɔl,,,,
虧,虧,,歌,ʌl,,,,
逵,逵,,幽,ɔ,,,,
馗,馗,,幽,ɔ,,,,
䟸,䟸,,幽,ɔ,,,,
𩓚（頯）,𩓚,（頯）,幽,ɔ,,,,
𢌳,𢌳,,幽,ɔ,,,,
頄,頄,,幽,ɔ,,,,
奎,奎,,支,ə,,,,
葵,葵,,脂,əl,,,,
鄈,鄈,,脂,əl,,,,
楑,楑,,脂,əl,,,,
𦝢,𦝢,,脂,əl,,,,
戣,戣,,脂,əl,,,,
騤,騤,,脂,əl,,,,
𠊾,𠊾,,脂,əl,,,,
揆,揆,,脂,əl,,,,
睽,睽,,脂,əl,,,,
聧,聧,,脂,əl,,,,
藈,藈,,脂,əl,,,,
魁,魁,,微,ɔl,,,,
夔,夔,,微,ɔl,,,,
躨,躨,,微,ɔl,,,,
𧢦,𧢦,,微,ɔl,,,,
跬,跬,,支,ə,,,,
䞨,䞨,,支,ə,,,,
頍,頍,,支,ə,,,,
䠑,䠑,,支,ə,,,,
蹞,蹞,,支,ə,,,,
䫥,䫥,,微,ɔl,,,,
巋（巋然）,巋,（巋然）,微,ɔl,,,,
媿,媿,,微,ɔl,,,,
愧,愧,,微,ɔl,,,,
聭,聭,,微,ɔl,,,,
餽,餽,,微,ɔl,,,,
潰,潰,,物,ɔt,,,,
憒,憒,,物,ɔt,,,,
聵,聵,,物,ɔt,,,,
嘳（喟）,嘳,（喟）,物,ɔt,,,,
䯣,䯣,,物,ɔt,,,,
䰎,䰎,,物,ɔt,,,,
簣,簣,,物,ɔt,,,,
饋,饋,,物,ɔt,,,,
樻,樻,,物,ɔt,,,,
鞼,鞼,,物,ɔt,,,,
簣,簣,,物,ɔt,,,,
歸（饋）,歸,（饋）,物,ɔt,,,,
喟,喟,,物,ɔt,,,,
灰,灰,,之,ɔɪ,,,,
恢,恢,,之,ɔɪ,,,,
詼,詼,,之,ɔɪ,,,,
虺（虺隤，病也）,虺,（虺隤，病也）,微,ɔl,,,,
睢（仰目）,睢,（仰目）,微,ɔl,,,,
婎,婎,,微,ɔl,,,,
徽,徽,,微,ɔl,,,,
褘,褘,,微,ɔl,,,,
鰴,鰴,,微,ɔl,,,,
幑,幑,,微,ɔl,,,,
揮,揮,,文,ɔn,,,,
煇,煇,,文,ɔn,,,,
輝,輝,,文,ɔn,,,,
暉,暉,,文,ɔn,,,,
翬,翬,,文,ɔn,,,,
楎（橛）,楎,（橛）,文,ɔn,,,,
𤟤,𤟤,,文,ɔn,,,,
㩣（揮）,㩣,（揮）,文,ɔn,,,,
𪎮,𪎮,,歌,ʌl,,,,
麾,麾,,歌,ʌl,,,,
噅,噅,,歌,ʌl,,,,
撝,撝,,歌,ʌl,,,,
䧦,䧦,,歌,ʌl,,,,
戲（麾）,戲,（麾）,歌,ʌl,,,,
隓,隓,,歌,ʌl,,,,
墮（毁壞）,墮,（毁壞）,歌,ʌl,,,,
隳,隳,,歌,ʌl,,,,
䜐,䜐,,歌,ʌl,,,,
蘳,蘳,,歌,ʌl,,,,
挼（挼祭）,挼,（挼祭）,歌,ʌl,,,,
蛕,蛕,,之,ɔɪ,,,,
回,回,,微,ɔl,,,,
洄,洄,,微,ɔl,,,,
迴,迴,,微,ɔl,,,,
徊,徊,,微,ɔl,,,,
佪,佪,,微,ɔl,,,,
恛,恛,,微,ɔl,,,,
賄*,賄*,,之,ɔɪ,,,,
悔,悔,,之,ɔɪ,,,,
毁,毁,,微,ɔl,,,,
燬,燬,,微,ɔl,,,,
檓,檓,,微,ɔl,,,,
毇,毇,,微,ɔl,,,,
㩓,㩓,,微,ɔl,,,,
𡢕,𡢕,,微,ɔl,,,,
虺,虺,,微,ɔl,,,,
𤈦,𤈦,,微,ɔl,,,,
虫,虫,,微,ɔl,,,,
䃣,䃣,,歌,ʌl,,,,
烜（火）,烜,（火）,元,ʌn,,,,
烜（火）,烜,（火）,元,ʌn,,,,
賄,賄,,之,ɔɪ,,,,
誨,誨,,之,ɔɪ,,,,
晦,晦,,之,ɔɪ,,,,
𠧩,𠧩,,之,ɔɪ,,,,
恚,恚,,支,ə,,,,
㜇,㜇,,支,ə,,,,
孈,孈,,支,ə,,,,
詯,詯,,質,ət,,,,
篲,篲,,質,ət,,,,
彗,彗,,質,ət,,,,
䵻,䵻,,質,ət,,,,
槥,槥,,質,ət,,,,
蔧,蔧,,質,ət,,,,
嘒,嘒,,質,ət,,,,
慧,慧,,質,ət,,,,
憓,憓,,質,ət,,,,
潓,潓,,質,ət,,,,
惠,惠,,質,ət,,,,
蟪,蟪,,質,ət,,,,
蕙,蕙,,質,ət,,,,
橞,橞,,質,ət,,,,
譓,譓,,質,ət,,,,
譿,譿,,質,ət,,,,
䎚,䎚,,質,ət,,,,
瘣,瘣,,微,ɔl,,,,
匯,匯,,微,ɔl,,,,
靧,靧,,微,ɔl,,,,
頮,頮,,微,ɔl,,,,
諱,諱,,微,ɔl,,,,
繢,繢,,微,ɔl,,,,
殨,殨,,微,ɔl,,,,
闠,闠,,微,ɔl,,,,
䜋,䜋,,微,ɔl,,,,
沬（洗面）,沬,（洗面）,物,ɔt,,,,
𩒳,𩒳,,物,ɔt,,,,
卉,卉,,物,ɔt,,,,
彙,彙,,物,ɔt,,,,
薈,薈,,月,ʌt,,,,
嬒,嬒,,月,ʌt,,,,
䵳,䵳,,月,ʌt,,,,
𧬨,𧬨,,月,ʌt,,,,
噦（噦噦）,噦,（噦噦）,月,ʌt,,,,
翽,翽,,月,ʌt,,,,
濊（水多）,濊,（水多）,月,ʌt,,,,
會（合）,會,（合）,月,ʌt,,,,
繪,繪,,月,ʌt,,,,
𨘇,𨘇,,月,ʌt,,,,
𡼾,𡼾,,月,ʌt,,,,
穢,穢,,月,ʌt,,,,
薉,薉,,月,ʌt,,,,
饖,饖,,月,ʌt,,,,
喙,喙,,月,ʌt,,,,
餯,餯,,月,ʌt,,,,
顪,顪,,月,ʌt,,,,
追,追,,微,ɔl,,,,
錐,錐,,微,ɔl,,,,
隹,隹,,微,ɔl,,,,
騅,騅,,微,ɔl,,,,
萑（草多貌）,萑,（草多貌）,微,ɔl,,,,
鵻,鵻,,微,ɔl,,,,
椎（木名，脊椎）,椎,（木名，脊椎）,微,ɔl,,,,
揣（擊）,揣,（擊）,歌,ʌl,,,,
沝,沝,,微,ɔl,,,,
縋,縋,,微,ɔl,,,,
槌（蠶槌）,槌,（蠶槌）,微,ɔl,,,,
膇,膇,,微,ɔl,,,,
轛,轛,,物,ɔt,,,,
墜,墜,,物,ɔt,,,,
懟,懟,,物,ɔt,,,,
隊（“墜”本字）,隊,（“墜”本字）,物,ɔt,,,,
䃍（物墜）,䃍,（物墜）,物,ɔt,,,,
隊（“墜”本字）,隊,（“墜”本字）,物,ɔt,,,,
䃍（物墜）,䃍,（物墜）,物,ɔt,,,,
娷,娷,,歌,ʌl,,,,
諈,諈,,歌,ʌl,,,,
腄（古縣名）,腄,（古縣名）,歌,ʌl,,,,
硾,硾,,歌,ʌl,,,,
惴,惴,,歌,ʌl,,,,
綴,綴,,月,ʌt,,,,
餟,餟,,月,ʌt,,,,
醊,醊,,月,ʌt,,,,
畷,畷,,月,ʌt,,,,
錣,錣,,月,ʌt,,,,
贅,贅,,月,ʌt,,,,
笍（小車具）,笍,（小車具）,緝,ɔp,,,,
吹（吹嘘）,吹,（吹嘘）,歌,ʌl,,,,
炊,炊,,歌,ʌl,,,,
䶴,䶴,,歌,ʌl,,,,
龡,龡,,歌,ʌl,,,,
椎（椎子）,椎,（椎子）,微,ɔl,,,,
槌（捶擊工具）,槌,（捶擊工具）,微,ɔl,,,,
顀,顀,,微,ɔl,,,,
腄（胼胝）,腄,（胼胝）,歌,ʌl,,,,
鬌（髮脱落）,鬌,（髮脱落）,歌,ʌl,,,,
錘,錘,,歌,ʌl,,,,
甀,甀,,歌,ʌl,,,,
捶,捶,,歌,ʌl,,,,
箠（鞭子，鞭打）,箠,（鞭子，鞭打）,歌,ʌl,,,,
䮔,䮔,,歌,ʌl,,,,
菙,菙,,歌,ʌl,,,,
垂,垂,,歌,ʌl,,,,
陲,陲,,歌,ʌl,,,,
倕,倕,,歌,ʌl,,,,
𦈼,𦈼,,歌,ʌl,,,,
棰,棰,,歌,ʌl,,,,
吹（鼓吹，名詞）,吹,（鼓吹，名詞）,歌,ʌl,,,,
誰,誰,,微,ɔl,,,,
脽,脽,,微,ɔl,,,,
水,水,,微,ɔl,,,,
㽷,㽷,,微,ɔl,,,,
𠻜,𠻜,,物,ɔt,,,,
睡,睡,,歌,ʌl,,,,
税,税,,月,ʌt,,,,
説（說，説服）,説,（說，説服）,月,ʌt,,,,
裞,裞,,月,ʌt,,,,
帨,帨,,月,ʌt,,,,
涚（涗）,涚,（涗）,月,ʌt,,,,
䬽,䬽,,月,ʌt,,,,
捝（挩，拭）,捝,（挩，拭）,月,ʌt,,,,
