字頭,字頭,補充,古韻,擬音,,,,
𢇷,𢇷,,月,ʌt,,,,
魃,魃,,月,ʌt,,,,
軷,軷,,月,ʌt,,,,
炦,炦,,月,ʌt,,,,
妭,妭,,月,ʌt,,,,
犮,犮,,月,ʌt,,,,
胈,胈,,月,ʌt,,,,
坺,坺,,月,ʌt,,,,
茇（草根）,茇,（草根）,月,ʌt,,,,
把,把,,魚,ʌ,,,,
𢃳,𢃳,,魚,ʌ,,,,
弝,弝,,魚,ʌ,,,,
靶（轡革）,靶,（轡革）,魚,ʌ,,,,
䇑,䇑,,支,ə,,,,
霸（與“王”相對）,霸,（與“王”相對）,鐸,ʌk,,,,
灞,灞,,鐸,ʌk,,,,
罷（止）,罷,（止）,歌,ʌl,,,,
矲,矲,,歌,ʌl,,,,
葩,葩,,魚,ʌ,,,,
鈀（箭鏃）,鈀,（箭鏃）,魚,ʌ,,,,
蚆,蚆,,魚,ʌ,,,,
皅,皅,,魚,ʌ,,,,
杷,杷,,魚,ʌ,,,,
杷（帕）,杷,（帕）,魚,ʌ,,,,
汃（砏汃）,汃,（砏汃）,質,ət,,,,
麻,麻,,歌,ʌl,,,,
犘,犘,,歌,ʌl,,,,
蟆,蟆,,魚,ʌ,,,,
馬,馬,,魚,ʌ,,,,
䣕,䣕,,魚,ʌ,,,,
禡,禡,,魚,ʌ,,,,
鬕,鬕,,魚,ʌ,,,,
㾺,㾺,,魚,ʌ,,,,
罵,罵,,魚,ʌ,,,,
傌,傌,,魚,ʌ,,,,
"貉（通“禡”,祭名）",貉,"（通“禡”,祭名）",魚,ʌ,,,,
發,發,,月,ʌt,,,,
伐,伐,,月,ʌt,,,,
筏,筏,,月,ʌt,,,,
栰,栰,,月,ʌt,,,,
罰,罰,,月,ʌt,,,,
閥,閥,,月,ʌt,,,,
橃,橃,,月,ʌt,,,,
瞂,瞂,,月,ʌt,,,,
茷（草葉多）,茷,（草葉多）,月,ʌt,,,,
藅,藅,,月,ʌt,,,,
傠,傠,,月,ʌt,,,,
