字符,韵部,韵母,,,,
痵,屑,ət,,,,
痸,曷,ʌt,,,,
痹,屑,ət,,,,
痼,模,ʌ,,,,
痾,歌,ʌl,,,,
痿,歌,ʌl,,,,
瘀,模,ʌ,,,,
瘁,没,ɔt,,,,
瘃,屋,ɒk,,,,
瘅,"寒,寒","ʌn,ʌn",,,,
瘇,东,ɒŋ,,,,
瘈,曷,ʌt,,,,
瘉,侯,ɒ,,,,
瘌,曷,ʌt,,,,
瘍,唐,ʌŋ,,,,
瘏,模,ʌ,,,,
瘐,侯,ɒ,,,,
瘑,歌,ʌl,,,,
瘕,模,ʌ,,,,
瘖,覃,ɔm,,,,
瘗,曷,ʌt,,,,
瘘,"侯,侯","ɒ,ɒ",,,,
瘚,曷,ʌt,,,,
瘛,曷,ʌt,,,,
瘜,德,ɔɪk,,,,
瘝,痕,ɔn,,,,
瘞,曷,ʌt,,,,
瘠,锡,ək,,,,
瘡,唐,ʌŋ,,,,
瘢,寒,ʌn,,,,
瘣,灰,ɔl,,,,
瘥,"歌,歌","ʌl,ʌl",,,,
瘦,萧,ɔ,,,,
瘧,沃,ɔk,,,,
瘨,先,ən,,,,
瘯,屋,ɒk,,,,
瘰,歌,ʌl,,,,
瘱,怗,ʌp,,,,
瘲,东,ɒŋ,,,,
瘳,萧,ɔ,,,,
瘵,曷,ʌt,,,,
瘻,"侯,侯","ɒ,ɒ",,,,
瘼,铎,ʌk,,,,
瘽,痕,ɔn,,,,
瘿,青,əŋ,,,,
療,"沃,沃","ɔk,ɔk",,,,
癃,冬,ɔŋ,,,,
癄,豪,o,,,,
癅,萧,ɔ,,,,
癆,豪,o,,,,
癇,寒,ʌn,,,,
癈,曷,ʌt,,,,
癉,"寒,寒","ʌn,ʌn",,,,
癖,锡,ək,,,,
癘,曷,ʌt,,,,
癙,模,ʌ,,,,
癞,曷,ʌt,,,,
癠,灰,ɔl,,,,
癡,咍,ɔɪ,,,,
癢,唐,ʌŋ,,,,
癣,寒,ʌn,,,,
癥,登,ɔɪŋ,,,,
癧,锡,ək,,,,
癩,曷,ʌt,,,,
癫,先,ən,,,,
癬,寒,ʌn,,,,
癭,青,əŋ,,,,
癯,模,ʌ,,,,
癰,东,ɒŋ,,,,
癲,先,ən,,,,
癶,曷,ʌt,,,,
癸,灰,ɔl,,,,
登,登,ɔɪŋ,,,,
發,"曷,曷","ʌt,ʌt",,,,
白,铎,ʌk,,,,
百,铎,ʌk,,,,
皀,"德,合,唐","ɔɪk,ɔp,ʌŋ",,,,
皁,萧,ɔ,,,,
皃,沃,ɔk,,,,
的,"沃,沃","ɔk,ɔk",,,,
皆,灰,ɔl,,,,
皇,唐,ʌŋ,,,,
皋,萧,ɔ,,,,
皎,豪,o,,,,
皏,青,əŋ,,,,
皑,灰,ɔl,,,,
皓,萧,ɔ,,,,
皕,德,ɔɪk,,,,
皖,寒,ʌn,,,,
皙,锡,ək,,,,
皚,灰,ɔl,,,,
皛,豪,o,,,,
皜,豪,o,,,,
皟,锡,ək,,,,
皡,萧,ɔ,,,,
皤,歌,ʌl,,,,
皦,豪,o,,,,
皪,沃,ɔk,,,,
皫,豪,o,,,,
皬,铎,ʌk,,,,
皭,沃,ɔk,,,,
皮,歌,ʌl,,,,
皯,寒,ʌn,,,,
皰,萧,ɔ,,,,
皲,痕,ɔn,,,,
皵,铎,ʌk,,,,
皶,模,ʌ,,,,
皸,痕,ɔn,,,,
皻,模,ʌ,,,,
皿,"唐,唐","ʌŋ,ʌŋ",,,,
盂,模,ʌ,,,,
盃,咍,ɔɪ,,,,
盅,冬,ɔŋ,,,,
盆,痕,ɔn,,,,
盇,怗,ʌp,,,,
盈,青,əŋ,,,,
盉,歌,ʌl,,,,
益,锡,ək,,,,
盌,寒,ʌn,,,,
盍,怗,ʌp,,,,
盎,唐,ʌŋ,,,,
盏,寒,ʌn,,,,
盐,添,ʌm,,,,
监,"添,添","ʌm,ʌm",,,,
盖,"怗,怗","ʌp,ʌp",,,,
盘,寒,ʌn,,,,
盛,"青,青","əŋ,əŋ",,,,
盜,豪,o,,,,
盝,屋,ɒk,,,,
盞,寒,ʌn,,,,
盟,唐,ʌŋ,,,,
盠,齐,ə,,,,
盡,"先,先","ən,ən",,,,
監,"添,添","ʌm,ʌm",,,,
盤,寒,ʌn,,,,
盥,寒,ʌn,,,,
盦,覃,ɔm,,,,
盧,模,ʌ,,,,
盩,萧,ɔ,,,,
盪,唐,ʌŋ,,,,
盬,模,ʌ,,,,
盭,屑,ət,,,,
目,沃,ɔk,,,,
盱,模,ʌ,,,,
盲,唐,ʌŋ,,,,
直,德,ɔɪk,,,,
盷,先,ən,,,,
相,"唐,唐","ʌŋ,ʌŋ",,,,
盻,齐,ə,,,,
盼,痕,ɔn,,,,
盾,"痕,痕","ɔn,ɔn",,,,
省,"青,青","əŋ,əŋ",,,,
眂,灰,ɔl,,,,
眃,痕,ɔn,,,,
眄,先,ən,,,,
眇,豪,o,,,,
眈,覃,ɔm,,,,
眉,灰,ɔl,,,,
眊,豪,o,,,,
看,"寒,寒","ʌn,ʌn",,,,
眎,灰,ɔl,,,,
眑,萧,ɔ,,,,
眒,先,ən,,,,
眓,曷,ʌt,,,,
眕,痕,ɔn,,,,
眘,先,ən,,,,
眙,咍,ɔɪ,,,,
眚,青,əŋ,,,,
眛,没,ɔt,,,,
眜,曷,ʌt,,,,
眝,模,ʌ,,,,
真,先,ən,,,,
眠,先,ən,,,,
眡,灰,ɔl,,,,
眢,寒,ʌn,,,,
眣,屑,ət,,,,
眥,齐,ə,,,,
眩,先,ən,,,,
眭,齐,ə,,,,
眯,灰,ɔl,,,,
眲,咍,ɔɪ,,,,
眳,青,əŋ,,,,
眴,先,ən,,,,
眵,歌,ʌl,,,,
眷,寒,ʌn,,,,
眸,萧,ɔ,,,,
眹,覃,ɔm,,,,
眺,豪,o,,,,
眼,痕,ɔn,,,,
眽,锡,ək,,,,
睃,痕,ɔn,,,,
睄,豪,o,,,,
睅,寒,ʌn,,,,
睆,寒,ʌn,,,,
睇,灰,ɔl,,,,
睊,寒,ʌn,,,,
睋,歌,ʌl,,,,
睍,寒,ʌn,,,,
睎,灰,ɔl,,,,
睐,咍,ɔɪ,,,,
睒,添,ʌm,,,,
睔,痕,ɔn,,,,
睗,锡,ək,,,,
睘,寒,ʌn,,,,
睚,齐,ə,,,,
睛,青,əŋ,,,,
睞,咍,ɔɪ,,,,
睟,没,ɔt,,,,
睠,寒,ʌn,,,,
睡,歌,ʌl,,,,
睢,"灰,灰","ɔl,ɔl",,,,
督,沃,ɔk,,,,
睥,齐,ə,,,,
睦,沃,ɔk,,,,
睨,齐,ə,,,,
睩,屋,ɒk,,,,
睪,铎,ʌk,,,,
睫,怗,ʌp,,,,
睮,侯,ɒ,,,,
睹,模,ʌ,,,,
睺,侯,ɒ,,,,
睼,齐,ə,,,,
睽,灰,ɔl,,,,
睿,曷,ʌt,,,,
瞀,侯,ɒ,,,,
瞂,曷,ʌt,,,,
瞋,先,ən,,,,
瞏,青,əŋ,,,,
瞑,青,əŋ,,,,
瞒,寒,ʌn,,,,
瞚,先,ən,,,,
瞝,歌,ʌl,,,,
瞞,寒,ʌn,,,,
瞟,豪,o,,,,
瞠,唐,ʌŋ,,,,
瞡,齐,ə,,,,
瞢,登,ɔɪŋ,,,,
瞤,先,ən,,,,
瞥,曷,ʌt,,,,
瞩,屋,ɒk,,,,
瞪,登,ɔɪŋ,,,,
瞫,覃,ɔm,,,,
瞭,豪,o,,,,
瞯,"寒,寒","ʌn,ʌn",,,,
瞰,添,ʌm,,,,
瞲,屑,ət,,,,
瞳,东,ɒŋ,,,,
瞵,先,ən,,,,
瞻,添,ʌm,,,,
瞽,模,ʌ,,,,
瞿,"模,模","ʌ,ʌ",,,,
矆,铎,ʌk,,,,
矇,东,ɒŋ,,,,
矉,先,ən,,,,
矊,寒,ʌn,,,,
矍,铎,ʌk,,,,
矐,铎,ʌk,,,,
矑,模,ʌ,,,,
矔,寒,ʌn,,,,
矕,寒,ʌn,,,,
矗,沃,ɔk,,,,
矘,唐,ʌŋ,,,,
矙,添,ʌm,,,,
矚,屋,ɒk,,,,
矛,萧,ɔ,,,,
矜,"先,先","ən,ən",,,,
矞,屑,ət,,,,
矟,沃,ɔk,,,,
矠,铎,ʌk,,,,
矢,灰,ɔl,,,,
矣,咍,ɔɪ,,,,
矤,先,ən,,,,
知,"齐,齐","ə,ə",,,,
矧,先,ən,,,,
矩,模,ʌ,,,,
矫,豪,o,,,,
短,寒,ʌn,,,,
矯,豪,o,,,,
矰,登,ɔɪŋ,,,,
矱,铎,ʌk,,,,
矲,歌,ʌl,,,,
石,铎,ʌk,,,,
矶,灰,ɔl,,,,
矸,"寒,寒","ʌn,ʌn",,,,
矺,铎,ʌk,,,,
矻,没,ɔt,,,,
矼,"东,东","ɒŋ,ɒŋ",,,,
矿,"唐,唐","ʌŋ,ʌŋ",,,,
砀,唐,ʌŋ,,,,
砅,曷,ʌt,,,,
砉,锡,ək,,,,
砌,屑,ət,,,,
砏,痕,ɔn,,,,
研,寒,ʌn,,,,
砚,寒,ʌn,,,,
砟,铎,ʌk,,,,
砠,模,ʌ,,,,
砡,屋,ɒk,,,,
砢,歌,ʌl,,,,
砥,灰,ɔl,,,,
砧,添,ʌm,,,,
砭,添,ʌm,,,,
砮,模,ʌ,,,,
砰,青,əŋ,,,,
破,没,ɔt,,,,
砺,曷,ʌt,,,,
砻,东,ɒŋ,,,,
砾,沃,ɔk,,,,
础,模,ʌ,,,,
硁,青,əŋ,,,,
硉,没,ɔt,,,,
硌,铎,ʌk,,,,
硎,青,əŋ,,,,
硐,东,ɒŋ,,,,
硕,"铎,铎","ʌk,ʌk",,,,
硖,怗,ʌp,,,,
硗,豪,o,,,,
硙,灰,ɔl,,,,
硜,青,əŋ,,,,
硞,沃,ɔk,,,,
硟,寒,ʌn,,,,
硠,唐,ʌŋ,,,,
硤,怗,ʌp,,,,
硩,曷,ʌt,,,,
硪,歌,ʌl,,,,
确,屋,ɒk,,,,
硯,寒,ʌn,,,,
硰,歌,ʌl,,,,
硷,添,ʌm,,,,
硻,先,ən,,,,
硾,歌,ʌl,,,,
碁,咍,ɔɪ,,,,
碄,覃,ɔm,,,,
碅,痕,ɔn,,,,
碆,歌,ʌl,,,,
碌,屋,ɒk,,,,
碍,咍,ɔɪ,,,,
碎,没,ɔt,,,,
碏,铎,ʌk,,,,
碑,齐,ə,,,,
碓,灰,ɔl,,,,
碔,模,ʌ,,,,
碕,"歌,歌","ʌl,ʌl",,,,
碛,锡,ək,,,,
碝,寒,ʌn,,,,
碞,覃,ɔm,,,,
碣,曷,ʌt,,,,
碧,铎,ʌk,,,,
碨,灰,ɔl,,,,
碩,"铎,铎","ʌk,ʌk",,,,
碫,寒,ʌn,,,,
碭,唐,ʌŋ,,,,
確,沃,ɔk,,,,
磁,咍,ɔɪ,,,,
磃,齐,ə,,,,
磅,唐,ʌŋ,,,,
磈,灰,ɔl,,,,
磊,灰,ɔl,,,,
磋,歌,ʌl,,,,
磌,先,ən,,,,
磍,曷,ʌt,,,,
磎,"齐,齐","ə,ə",,,,
磏,添,ʌm,,,,
磐,寒,ʌn,,,,
磑,灰,ɔl,,,,
磒,痕,ɔn,,,,
磔,铎,ʌk,,,,
磕,怗,ʌp,,,,
磛,添,ʌm,,,,
磝,豪,o,,,,
磥,灰,ɔl,,,,
磧,锡,ək,,,,
磨,"歌,歌","ʌl,ʌl",,,,
磩,沃,ɔk,,,,
磪,灰,ɔl,,,,
磬,青,əŋ,,,,
磯,灰,ɔl,,,,
磳,登,ɔɪŋ,,,,
磶,铎,ʌk,,,,
磷,先,ən,,,,
磺,唐,ʌŋ,,,,
磻,歌,ʌl,,,,
磼,合,ɔp,,,,
磽,豪,o,,,,
磾,灰,ɔl,,,,
磿,锡,ək,,,,
礉,锡,ək,,,,
礎,模,ʌ,,,,
礏,怗,ʌp,,,,
礐,沃,ɔk,,,,
礔,锡,ək,,,,
礙,咍,ɔɪ,,,,
礚,怗,ʌp,,,,
礛,添,ʌm,,,,
礜,模,ʌ,,,,
礥,先,ən,,,,
礦,"唐,唐","ʌŋ,ʌŋ",,,,
礧,灰,ɔl,,,,
礨,灰,ɔl,,,,
礩,屑,ət,,,,
礪,曷,ʌt,,,,
礫,沃,ɔk,,,,
礰,锡,ək,,,,
礱,东,ɒŋ,,,,
礴,铎,ʌk,,,,
示,"齐,灰,齐","ə,ɔl,ə",,,,
礼,灰,ɔl,,,,
社,模,ʌ,,,,
礿,沃,ɔk,,,,
祀,咍,ɔɪ,,,,
祁,灰,ɔl,,,,
祃,模,ʌ,,,,
祅,豪,o,,,,
祇,"齐,齐,齐","ə,ə,ə",,,,
祈,痕,ɔn,,,,
祉,咍,ɔɪ,,,,
祊,唐,ʌŋ,,,,
祋,曷,ʌt,,,,
祎,灰,ɔl,,,,
祏,铎,ʌk,,,,
祐,咍,ɔɪ,,,,
祓,曷,ʌt,,,,
祔,侯,ɒ,,,,
祕,"屑,屑","ət,ət",,,,
祖,模,ʌ,,,,
祗,灰,ɔl,,,,
祘,寒,ʌn,,,,
祙,没,ɔt,,,,
祚,铎,ʌk,,,,
祛,模,ʌ,,,,
祜,模,ʌ,,,,
祝,"沃,沃","ɔk,ɔk",,,,
神,先,ən,,,,
祟,没,ɔt,,,,
祠,咍,ɔɪ,,,,
祡,齐,ə,,,,
祢,灰,ɔl,,,,
祥,唐,ʌŋ,,,,
祧,豪,o,,,,
祪,齐,ə,,,,
祫,合,ɔp,,,,
祭,"曷,曷","ʌt,ʌt",,,,
祯,"青,青","əŋ,əŋ",,,,
祰,萧,ɔ,,,,
祲,覃,ɔm,,,,
祳,痕,ɔn,,,,
祴,咍,ɔɪ,,,,
祷,萧,ɔ,,,,
祸,歌,ʌl,,,,
祺,咍,ɔɪ,,,,
祼,寒,ʌn,,,,
禁,覃,ɔm,,,,
禂,萧,ɔ,,,,
禄,屋,ɒk,,,,
禅,"寒,寒","ʌn,ʌn",,,,
禋,痕,ɔn,,,,
禍,歌,ʌl,,,,
禎,"青,青","əŋ,əŋ",,,,
福,德,ɔɪk,,,,
禓,"唐,唐","ʌŋ,ʌŋ",,,,
禔,齐,ə,,,,
禕,灰,ɔl,,,,
禖,咍,ɔɪ,,,,
禗,咍,ɔɪ,,,,
禘,锡,ək,,,,
禚,沃,ɔk,,,,
禛,先,ən,,,,
禜,青,əŋ,,,,
禠,齐,ə,,,,
禡,模,ʌ,,,,
禦,模,ʌ,,,,
禧,"咍,咍","ɔɪ,ɔɪ",,,,
禨,灰,ɔl,,,,
禩,咍,ɔɪ,,,,
禪,"寒,寒","ʌn,ʌn",,,,
禫,覃,ɔm,,,,
禬,曷,ʌt,,,,
禮,灰,ɔl,,,,
禰,灰,ɔl,,,,
禱,萧,ɔ,,,,
禳,唐,ʌŋ,,,,
禴,沃,ɔk,,,,
禷,没,ɔt,,,,
禹,模,ʌ,,,,
禺,"侯,侯","ɒ,ɒ",,,,
离,歌,ʌl,,,,
禼,曷,ʌt,,,,
禽,覃,ɔm,,,,
禾,歌,ʌl,,,,
秀,萧,ɔ,,,,
私,灰,ɔl,,,,
秃,屋,ɒk,,,,
秄,咍,ɔɪ,,,,
秅,"模,模","ʌ,ʌ",,,,
秆,寒,ʌn,,,,
秉,唐,ʌŋ,,,,
秊,先,ən,,,,
秋,萧,ɔ,,,,
秌,萧,ɔ,,,,
种,冬,ɔŋ,,,,
秏,豪,o,,,,
科,歌,ʌl,,,,
秒,豪,o,,,,
秔,"唐,唐","ʌŋ,ʌŋ",,,,
秕,灰,ɔl,,,,
秖,齐,ə,,,,
秘,"屑,屑","ət,ət",,,,
秝,锡,ək,,,,
租,模,ʌ,,,,
秠,咍,ɔɪ,,,,
秣,曷,ʌt,,,,
秦,先,ən,,,,
秧,唐,ʌŋ,,,,
秩,屑,ət,,,,
秪,灰,ɔl,,,,
秫,没,ɔt,,,,
秬,模,ʌ,,,,
秭,灰,ɔl,,,,
积,锡,ək,,,,
称,"登,登,登","ɔɪŋ,ɔɪŋ,ɔɪŋ",,,,
秱,东,ɒŋ,,,,
秸,屑,ət,,,,
秺,模,ʌ,,,,
移,歌,ʌl,,,,
秽,"曷,曷","ʌt,ʌt",,,,
秾,冬,ɔŋ,,,,
稀,灰,ɔl,,,,
稂,唐,ʌŋ,,,,
稃,萧,ɔ,,,,
稈,寒,ʌn,,,,
稉,"唐,唐","ʌŋ,ʌŋ",,,,
稊,灰,ɔl,,,,
程,青,əŋ,,,,
稌,模,ʌ,,,,
稍,豪,o,,,,
税,曷,ʌt,,,,
稑,沃,ɔk,,,,
稔,覃,ɔm,,,,
稕,痕,ɔn,,,,
稗,齐,ə,,,,
稘,咍,ɔɪ,,,,
稙,德,ɔɪk,,,,
稚,灰,ɔl,,,,
稛,痕,ɔn,,,,
稜,登,ɔɪŋ,,,,
稞,歌,ʌl,,,,
稟,"覃,覃","ɔm,ɔm",,,,
稠,萧,ɔ,,,,
稣,模,ʌ,,,,
稬,"歌,寒","ʌl,ʌn",,,,
稭,灰,ɔl,,,,
種,"东,东","ɒŋ,ɒŋ",,,,
稯,"东,东","ɒŋ,ɒŋ",,,,
稰,模,ʌ,,,,
稱,"登,登,登","ɔɪŋ,ɔɪŋ,ɔɪŋ",,,,
稷,德,ɔɪk,,,,
稸,沃,ɔk,,,,
稹,先,ən,,,,
稺,灰,ɔl,,,,
稻,萧,ɔ,,,,
稼,模,ʌ,,,,
稽,"灰,灰","ɔl,ɔl",,,,
稾,豪,o,,,,
穀,屋,ɒk,,,,
穄,曷,ʌt,,,,
穅,唐,ʌŋ,,,,
穆,沃,ɔk,,,,
穈,"歌,痕","ʌl,ɔn",,,,
穉,"灰,灰","ɔl,ɔl",,,,
穊,没,ɔt,,,,
穋,沃,ɔk,,,,
穌,模,ʌ,,,,
積,锡,ək,,,,
穎,青,əŋ,,,,
穑,德,ɔɪk,,,,
穖,灰,ɔl,,,,
穗,屑,ət,,,,
穛,沃,ɔk,,,,
穜,"东,东","ɒŋ,ɒŋ",,,,
穟,没,ɔt,,,,
穠,冬,ɔŋ,,,,
穡,德,ɔɪk,,,,
穢,"曷,曷","ʌt,ʌt",,,,
穧,灰,ɔl,,,,
穨,灰,ɔl,,,,
穫,铎,ʌk,,,,
穬,唐,ʌŋ,,,,
穮,豪,o,,,,
穰,唐,ʌŋ,,,,
穱,沃,ɔk,,,,
穴,屑,ət,,,,
穵,没,ɔt,,,,
究,"萧,萧","ɔ,ɔ",,,,
穷,冬,ɔŋ,,,,
穸,铎,ʌk,,,,
穹,登,ɔɪŋ,,,,
空,东,ɒŋ,,,,
穽,青,əŋ,,,,
穾,豪,o,,,,
穿,寒,ʌn,,,,
窀,痕,ɔn,,,,
突,没,ɔt,,,,
窃,屑,ət,,,,
窄,铎,ʌk,,,,
窅,豪,o,,,,
窆,添,ʌm,,,,
窈,萧,ɔ,,,,
窊,模,ʌ,,,,
窋,没,ɔt,,,,
窌,"萧,萧,萧,萧","ɔ,ɔ,ɔ,ɔ",,,,
窍,沃,ɔk,,,,
窎,萧,ɔ,,,,
窏,模,ʌ,,,,
窐,齐,ə,,,,
窒,屑,ət,,,,
窔,豪,o,,,,
窕,豪,o,,,,
窖,萧,ɔ,,,,
窗,东,ɒŋ,,,,
窘,痕,ɔn,,,,
窜,寒,ʌn,,,,
窞,添,ʌm,,,,
窟,没,ɔt,,,,
窠,歌,ʌl,,,,
窡,曷,ʌt,,,,
窢,德,ɔɪk,,,,
窣,没,ɔt,,,,
窥,齐,ə,,,,
窦,屋,ɒk,,,,
窨,覃,ɔm,,,,
窪,齐,ə,,,,
窫,曷,ʌt,,,,
窬,侯,ɒ,,,,
窭,"侯,侯","ɒ,ɒ",,,,
窮,冬,ɔŋ,,,,
窯,豪,o,,,,
窱,萧,ɔ,,,,
窳,"模,模","ʌ,ʌ",,,,
窴,"先,先","ən,ən",,,,
窵,萧,ɔ,,,,
窶,"侯,侯","ɒ,ɒ",,,,
窺,齐,ə,,,,
窾,寒,ʌn,,,,
竀,青,əŋ,,,,
竁,曷,ʌt,,,,
竄,寒,ʌn,,,,
竅,沃,ɔk,,,,
竇,屋,ɒk,,,,
竈,沃,ɔk,,,,
竊,屑,ət,,,,
立,合,ɔp,,,,
竑,登,ɔɪŋ,,,,
竘,侯,ɒ,,,,
竚,模,ʌ,,,,
竝,唐,ʌŋ,,,,
竞,唐,ʌŋ,,,,
竟,唐,ʌŋ,,,,
章,唐,ʌŋ,,,,
竢,咍,ɔɪ,,,,
竣,痕,ɔn,,,,
童,东,ɒŋ,,,,
竦,东,ɒŋ,,,,
竫,青,əŋ,,,,
竭,曷,ʌt,,,,
端,寒,ʌn,,,,
竱,寒,ʌn,,,,
竵,"齐,齐","ə,ə",,,,
競,唐,ʌŋ,,,,
竹,沃,ɔk,,,,
竺,"沃,沃","ɔk,ɔk",,,,
竽,模,ʌ,,,,
竾,歌,ʌl,,,,
竿,寒,ʌn,,,,
笃,沃,ɔk,,,,
笄,灰,ɔl,,,,
笇,寒,ʌn,,,,
笈,合,ɔp,,,,
笋,先,ən,,,,
笏,没,ɔt,,,,
笐,唐,ʌŋ,,,,
笑,豪,o,,,,
笔,没,ɔt,,,,
笘,添,ʌm,,,,
笙,青,əŋ,,,,
笛,沃,ɔk,,,,
笞,咍,ɔɪ,,,,
笠,合,ɔp,,,,
笢,先,ən,,,,
笥,咍,ɔɪ,,,,
符,侯,ɒ,,,,
笨,痕,ɔn,,,,
笪,"曷,寒","ʌt,ʌn",,,,
笫,灰,ɔl,,,,
第,灰,ɔl,,,,
笭,青,əŋ,,,,
笮,铎,ʌk,,,,
笯,模,ʌ,,,,
笰,没,ɔt,,,,
笱,侯,ɒ,,,,
笲,寒,ʌn,,,,
笳,歌,ʌl,,,,
笴,歌,ʌl,,,,
笵,添,ʌm,,,,
笺,寒,ʌn,,,,
笼,东,ɒŋ,,,,
笾,寒,ʌn,,,,
笿,铎,ʌk,,,,
筄,豪,o,,,,
筆,没,ɔt,,,,
等,咍,ɔɪ,,,,
筊,豪,o,,,,
筋,痕,ɔn,,,,
筌,寒,ʌn,,,,
筍,先,ən,,,,
筏,曷,ʌt,,,,
筐,唐,ʌŋ,,,,
筑,沃,ɔk,,,,
筒,"东,东,东","ɒŋ,ɒŋ,ɒŋ",,,,
答,"合,合","ɔp,ɔp",,,,
筕,唐,ʌŋ,,,,
策,锡,ək,,,,
筚,屑,ət,,,,
筟,萧,ɔ,,,,
筠,先,ən,,,,
筡,模,ʌ,,,,
筤,唐,ʌŋ,,,,
筥,模,ʌ,,,,
筦,寒,ʌn,,,,
筩,"东,东","ɒŋ,ɒŋ",,,,
筭,寒,ʌn,,,,
筮,曷,ʌt,,,,
筰,铎,ʌk,,,,
筱,萧,ɔ,,,,
筲,豪,o,,,,
筳,青,əŋ,,,,
筴,锡,ək,,,,
筵,寒,ʌn,,,,
筹,萧,ɔ,,,,
签,添,ʌm,,,,
简,寒,ʌn,,,,
箄,齐,ə,,,,
箅,屑,ət,,,,
箇,歌,ʌl,,,,
箈,咍,ɔɪ,,,,
箋,寒,ʌn,,,,
箎,齐,ə,,,,
箑,怗,ʌp,,,,
箒,萧,ɔ,,,,
箓,屋,ɒk,,,,
箕,咍,ɔɪ,,,,
算,寒,ʌn,,,,
箘,痕,ɔn,,,,
箙,德,ɔɪk,,,,
箛,模,ʌ,,,,
箜,东,ɒŋ,,,,
箝,添,ʌm,,,,
箠,歌,ʌl,,,,
管,寒,ʌn,,,,
箦,锡,ək,,,,
箧,怗,ʌp,,,,
箨,铎,ʌk,,,,
箩,歌,ʌl,,,,
箪,寒,ʌn,,,,
箫,萧,ɔ,,,,
箬,铎,ʌk,,,,
箭,寒,ʌn,,,,
箯,寒,ʌn,,,,
箰,先,ən,,,,
箱,唐,ʌŋ,,,,
箴,覃,ɔm,,,,
箸,"模,模","ʌ,ʌ",,,,
箾,沃,ɔk,,,,
節,屑,ət,,,,
篁,唐,ʌŋ,,,,
範,添,ʌm,,,,
篅,寒,ʌn,,,,
篆,寒,ʌn,,,,
篇,先,ən,,,,
築,沃,ɔk,,,,
篋,怗,ʌp,,,,
篌,侯,ɒ,,,,
篍,萧,ɔ,,,,
篎,豪,o,,,,
篑,没,ɔt,,,,
篓,侯,ɒ,,,,
篙,豪,o,,,,
篚,灰,ɔl,,,,
篝,侯,ɒ,,,,
篠,萧,ɔ,,,,
篡,寒,ʌn,,,,
篣,唐,ʌŋ,,,,
篤,沃,ɔk,,,,
篨,模,ʌ,,,,
篮,添,ʌm,,,,
篯,寒,ʌn,,,,
篰,咍,ɔɪ,,,,
篲,屑,ət,,,,
篳,屑,ət,,,,
篴,沃,ɔk,,,,
篸,覃,ɔm,,,,
篹,寒,ʌn,,,,
篼,侯,ɒ,,,,
篽,模,ʌ,,,,
篾,曷,ʌt,,,,
篿,"寒,寒","ʌn,ʌn",,,,
簀,锡,ək,,,,
簁,齐,ə,,,,
簂,德,ɔɪk,,,,
簃,歌,ʌl,,,,
簉,"萧,萧","ɔ,ɔ",,,,
簋,萧,ɔ,,,,
簍,侯,ɒ,,,,
簎,铎,ʌk,,,,
簏,屋,ɒk,,,,
簙,铎,ʌk,,,,
簜,唐,ʌŋ,,,,
簝,豪,o,,,,
簞,寒,ʌn,,,,
簟,覃,ɔm,,,,
簠,模,ʌ,,,,
簡,寒,ʌn,,,,
簢,痕,ɔn,,,,
簣,没,ɔt,,,,
簦,登,ɔɪŋ,,,,
簧,唐,ʌŋ,,,,
簨,痕,ɔn,,,,
簪,覃,ɔm,,,,
簫,萧,ɔ,,,,
簬,铎,ʌk,,,,
簭,曷,ʌt,,,,
簳,寒,ʌn,,,,
簵,铎,ʌk,,,,
簷,添,ʌm,,,,
簸,歌,ʌl,,,,
簺,德,ɔɪk,,,,
簻,歌,ʌl,,,,
簾,添,ʌm,,,,
簿,模,ʌ,,,,
籀,萧,ɔ,,,,
籁,曷,ʌt,,,,
籃,添,ʌm,,,,
籆,铎,ʌk,,,,
籈,痕,ɔn,,,,
籊,沃,ɔk,,,,
籋,怗,ʌp,,,,
籌,萧,ɔ,,,,
籍,铎,ʌk,,,,
籑,寒,ʌn,,,,
籓,寒,ʌn,,,,
籔,"没,侯","ɔt,ɒ",,,,
籗,铎,ʌk,,,,
籙,屋,ɒk,,,,
籚,模,ʌ,,,,
籛,寒,ʌn,,,,
籜,铎,ʌk,,,,
籝,青,əŋ,,,,
籞,模,ʌ,,,,
籟,曷,ʌt,,,,
籠,东,ɒŋ,,,,
籣,寒,ʌn,,,,
籤,添,ʌm,,,,
籥,沃,ɔk,,,,
籦,东,ɒŋ,,,,
籧,模,ʌ,,,,
籨,添,ʌm,,,,
籩,寒,ʌn,,,,
籫,寒,ʌn,,,,
籬,歌,ʌl,,,,
籮,歌,ʌl,,,,
籯,青,əŋ,,,,
籰,铎,ʌk,,,,
籲,沃,ɔk,,,,
米,灰,ɔl,,,,
籹,模,ʌ,,,,
类,没,ɔt,,,,
粃,灰,ɔl,,,,
粈,萧,ɔ,,,,
粉,痕,ɔn,,,,
粒,合,ɔp,,,,
粔,模,ʌ,,,,
粕,铎,ʌk,,,,
粗,模,ʌ,,,,
粜,沃,ɔk,,,,
粝,曷,ʌt,,,,
粟,屋,ɒk,,,,
粢,灰,ɔl,,,,
粤,曷,ʌt,,,,
粥,沃,ɔk,,,,
粦,先,ən,,,,
粪,痕,ɔn,,,,
粮,唐,ʌŋ,,,,
粱,唐,ʌŋ,,,,
粲,寒,ʌn,,,,
粳,唐,ʌŋ,,,,
粹,没,ɔt,,,,
粺,齐,ə,,,,
粻,唐,ʌŋ,,,,
粼,先,ən,,,,
精,青,əŋ,,,,
糁,覃,ɔm,,,,
