廣韻字頭(覈校後),廣韻字頭原貌(覈校前),聲紐,聲母擬音,呼,等,韻部(調整後),廣韻韻部原貌(調整前),,韻母擬音,聲調,廣韻反切(覈校後),廣韻反切原貌(覈校前),全王本切韻-反切,裴本切韻-反切,先秦韻部（引自余迺永的《上古音系研究》）,廣韻釋義,釋義補充
㓹,㓹,清,ts̺ʰ,合,三,祭A,祭,合三祭A,yɪl,去,此芮,此芮,此芮,,廢合,小割,
㯔,㯔,清,ts̺ʰ,合,三,祭A,祭,合三祭A,yɪl,去,此芮,此芮,此芮,,,重擣又楚稅切,
𤂳,𤂳,清,ts̺ʰ,合,三,祭A,祭,合三祭A,yɪl,去,此芮,此芮,此芮,,,飲也,
銳,銳,以,d̺,合,三,祭A,祭,合三祭A,yɪl,去,以芮,以芮,以芮,以芮,,利也又姓姓苑云升平中鮮卑有御史中丞銳管以芮切六,
銴,銴,以,d̺,合,三,祭A,祭,合三祭A,yɪl,去,以芮,以芮,以芮,,,銅生五色,
叡,叡,以,d̺,合,三,祭A,祭,合三祭A,yɪl,去,以芮,以芮,以芮,以芮,,聖也,
睿,睿,以,d̺,合,三,祭A,祭,合三祭A,yɪl,去,以芮,以芮,,,文,上同,聖也
䓲,䓲,以,d̺,合,三,祭A,祭,合三祭A,yɪl,去,以芮,以芮,以芮,以芮,,草生狀,
蜹,蜹,以,d̺,合,三,祭A,祭,合三祭A,yɪl,去,以芮,以芮,以芮,,,毒蟲又而稅切,
綴,綴,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,陟衛,陟衛,,連綴陟衛切又丁劣切十一,
醊,醊,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,陟衛,陟衛,,祭也,
畷,畷,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,陟衛,陟衛,,禮注云井田閒道吳都賦云畛畷無數又張劣切,
笍,笍,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,,,,小車具也,
䄌,䄌,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,,,,重祭,
啜,啜,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,,,,甞也,
餟,餟,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,,,,說文曰祭酹也司馬貞曰漢志作腏字通,
腏,腏,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,,,,上同又皮腏著也,說文曰祭酹也司馬貞曰漢志作腏字通
錣,錣,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,,,,針也,
卂,卂,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,,,真,釣也,
輟,輟,知,ȶ,合,三,祭B,祭,合三祭B,ʉel,去,陟衛,陟衛,陟衛,,,車小缺也,
稅,稅,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,舒芮,舒芮,,斂也舍也又姓盛弘之荊州記云建平信陵縣有稅氏舒芮切九,
說,說,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,舒芮,舒芮,,說誘,
裞,裞,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,舒芮,舒芮,,衣送死也又禮注云日月已過乃聞喪而服曰裞又他活切又他外切,
蛻,蛻,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,舒芮,舒芮,,蛻皮又他臥切又他外切,
帨,帨,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,,,,佩巾也又音脃,
𢄢,𢄢,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,,,,說文曰禮巾也,
涗,涗,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,舒芮,,,溫水又清也,
䬽,䬽,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,舒芮,,,小餟也又郎外切,
䭨,䭨,書,ʃ,合,三,祭A,祭,合三祭A,yɪl,去,舒芮,舒芮,,,,上同,小餟也又郎外切
弊,𡚁,並,ˀbʱ,開,三,祭A,祭,開三祭A,ɪl,去,毗祭,毗祭,毗祭,毗祭,,困也惡也說文曰頓仆也俗作弊毗祭切五,
斃,斃,並,ˀbʱ,開,三,祭A,祭,開三祭A,ɪl,去,毗祭,毗祭,毗祭,毗祭,,死也說文同上,困也惡也說文曰頓仆也俗作弊毗祭切五
幣,幣,並,ˀbʱ,開,三,祭A,祭,開三祭A,ɪl,去,毗祭,毗祭,毗祭,毗祭,,幣帛,
㡀,㡀,並,ˀbʱ,開,三,祭A,祭,開三祭A,ɪl,去,毗祭,毗祭,,,介開,說文曰敗衣也从巾象敗衣之形又匹世切,
敝,敝,並,ˀbʱ,開,三,祭A,祭,開三祭A,ɪl,去,毗祭,毗祭,毗祭,毗祭,介開,說文曰帗也一曰敗衣也又姓左傳齊有敝無存,
㯔,㯔,初,ts̻ʰ,合,三,祭B,祭,合三祭B,ʉel,去,楚稅,楚稅,楚歲,楚歲,,重擣楚稅切四,
𣃍,𣃍,初,ts̻ʰ,合,三,祭B,祭,合三祭B,ʉel,去,楚稅,楚稅,,,,𣃍斷,
竁,竁,初,ts̻ʰ,合,三,祭B,祭,合三祭B,ʉel,去,楚稅,楚稅,楚歲,,,葬穿壙也,
毳,毳,初,ts̻ʰ,合,三,祭B,祭,合三祭B,ʉel,去,楚稅,楚稅,,,介合,細毛,
篲,篲,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,囚歲,囚歲,,埽帚爾雅曰葥王篲本亦從艹祥歲切九,
𥱵,𥱵,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,,,,古文,埽帚爾雅曰葥王篲本亦從艹祥歲切九
鏏,鏏,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,囚歲,囚歲,,大鼎,
彗,彗,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,,,介合,星名又音遂,
䵻,䵻,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,,,,小鼎,
槥,槥,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,囚歲,,,小棺,
軎,軎,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,,,介合,車軸頭也又音衛,
轊,轊,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,囚歲,,,上同,車軸頭也又音衛
𢅫,𢅫,邪,z̺,合,三,祭A,祭,合三祭A,yɪl,去,祥歲,祥歲,,,,布巾,
蔽,蔽,幫,p,開,三,祭A,祭,開三祭A,ɪl,去,必袂,必袂,必袂,必袂,,掩也必袂切四,
鄨,鄨,幫,p,開,三,祭A,祭,開三祭A,ɪl,去,必袂,必袂,必袂,必袂,,縣名在牂牁又音鷩,
鷩,鷩,幫,p,開,三,祭A,祭,開三祭A,ɪl,去,必袂,必袂,必袂,,,爾雅曰鷩雉郭璞云似山雞而小冠周禮云王享先公饗射則鷩冕又音鼈,
彆,彆,幫,p,開,三,祭A,祭,開三祭A,ɪl,去,必袂,必袂,,,,弓彆,
劌,劌,見,k,合,三,祭B,祭,合三祭B,ʉel,去,居衛,居衛,居衛,居衛,,傷也割也居衛切六,
鱖,鱖,見,k,合,三,祭B,祭,合三祭B,ʉel,去,居衛,居衛,居衛,居衛,,魚名大口細鱗有班文一曰婢魚也,
𠜾,𠜾,見,k,合,三,祭B,祭,合三祭B,ʉel,去,居衛,居衛,居衛,居衛,,剖𠜾斷割也,
𨇙,𨇙,見,k,合,三,祭B,祭,合三祭B,ʉel,去,居衛,居衛,,,,爾雅云𨇙洩苦棗亦作蹶,
蹶,蹶,見,k,合,三,祭B,祭,合三祭B,ʉel,去,居衛,居衛,,,,行急遽皃曲禮曰足無蹶又居月切,
𤜂,𤜂,見,k,合,三,祭B,祭,合三祭B,ʉel,去,居衛,居衛,,居衛,,踶𤜂牛展足,
袂,袂,明,m̊,開,三,祭A,祭,開三祭A,ɪl,去,彌弊,彌弊,弥獘,弥獘,,袖也彌弊切一,
㡜,㡜,生,s̻,開,三,祭B,祭,開三祭B,el,去,所例,所例,所例,所例,,殘帛所例切三,
鎩,鎩,生,s̻,開,三,祭B,祭,開三祭B,el,去,所例,所例,所例,所例,,矛戟類又所戒切,
蔱,蔱,生,s̻,開,三,祭B,祭,開三祭B,el,去,所例,所例,所例,所例,,椒蔱又所八切,
掣,掣,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,尺制,尺制,,掣曳尺制切又尺折切八,
瘛,瘛,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,尺制,尺制,,小兒驚,
懘,懘,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,尺制,尺制,,㥈懘音不和也㥈樂記作帖,
痸,痸,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,尺制,尺制,,郭璞云癩病,
𤸪,𤸪,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,,,,上同,郭璞云癩病
𢜳,𢜳,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,,,,說文曰小怒也,
銐,銐,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,尺制,,,除利也,
𤢻,𤢻,昌,tʃʰ,開,三,祭A,祭,開三祭A,ɪl,去,尺制,尺制,尺制,,,狂犬別名,
制,制,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,職例,介開,禁制又斷也止也勝也說文作𠛐裁也从刀从未物有滋味可裁斷也征例切十八,
𠛐,𠛐,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,,,,見上注,禁制又斷也止也勝也說文作𠛐裁也从刀从未物有滋味可裁斷也征例切十八
𦜗,𦜗,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,職例,,魚醬亦作𨡐,
淛,淛,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,職例,,水名,
製,製,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,職例,,製作又裁也,
䎺,䎺,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,職例,,入意一曰聞也,
晢,晢,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,職例,,星光也亦作晣又音折,
䇽,䇽,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,,,方言云自關而西謂簟或謂之䇽,
㛳,𢝃,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,,職例,,婦孕病兒,
㝂,㝂,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,,,蝗子,
䱥,䱥,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,,,,魚名可爲醬,
䀸,䀸,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,,,,目光也又丑世切,
狾,狾,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,,職例,,狂犬,
𥍭,𥍭,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,,,,矛也,
䩢,䩢,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,,,刀鞞,
䭁,䭁,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,,,臭敗之味,
䠠,𤴟,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,,,古人姓,
迣,迣,章,tʃ,開,三,祭A,祭,開三祭A,ɪl,去,征例,征例,職例,,,迾也度也,
逝,逝,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,時制,,往也行也去也時制切十三,
忕,忕,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,,,,忕習,
觢,觢,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,時制,,牛角豎也,
噬,噬,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,時制,,齧噬,
誓,誓,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,時制,,誓約,
𣂯,𣂯,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,,,,古文,誓約
筮,筮,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,時制,介開,龜曰蓍曰筮巫咸作筮筮決也,
簭,簭,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,,,,上同見周禮,龜曰蓍曰筮巫咸作筮筮決也
澨,澨,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,時制,,水名書曰過三澨,
銴,銴,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,時制,,車樘結一曰銅生五色又音銳,
遾,遾,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,,時制,,逮也,
𧻸,𧻸,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,時制,,,踰也,
𦚨,𦚨,常,ʒ,開,三,祭A,祭,開三祭A,ɪl,去,時制,時制,,,,割𠟼,
曳,曳,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,介開,牽也引也餘制切二十九,
裔,裔,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,介開,邊也苗裔也又容裔也說文曰衣裾也俗作𧚞,
𤤺,𤤺,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,,石之次玉也,
勩,勩,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,,勞也,
泄,泄,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,餘制,,水名在九江又音薛,
洩,洩,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,上同,水名在九江又音薛
𤵺,𤵺,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,,病也,
䎈,䎈,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,,鳥飛,
枻,枻,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,,檝枻,
詍,詍,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,,多言,
𢘽,𢘽,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,餘制,,明也一曰習也,
𦒎,𦒎,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,鳳六翮,
靾,靾,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,以馬鞍贈亡人,
跇,跇,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,超踰又丑例切,
𠂆,𠂆,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,施明也又身皃,
袣,袣,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,長被又衣長皃,
䄿,䄿,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,白䄿稻名,
𪀕,𪀕,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,鳥名,
㵝,㵝,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,溶㵝水皃,
㑜,㑜,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,合板㑜縫,
抴,抴,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,數也,
㛳,㛳,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,婦人病胎,
䇩,䇩,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,長也,
㹭,㹭,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,狸子,
丿,丿,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,,,,至地,
㵩,㵩,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,蒸也又蔥㵩也,
𢂼,𢂼,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,裂也,
呭,呭,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,呭樂說文曰多言也亦作㖂,
䕍,䕍,以,d̺,開,三,祭A,祭,開三祭A,ɪl,去,餘制,餘制,餘制,,,草名,
䋵,䋵,影,∅,開,三,祭B,祭,開三祭B,el,去,於罽,於罽,於罽,於罽,,急也一曰不成也於罽切五,
瘞,瘞,影,∅,開,三,祭B,祭,開三祭B,el,去,於罽,於罽,於罽,於罽,,埋也,
餲,餲,影,∅,開,三,祭B,祭,開三祭B,el,去,於罽,於罽,於罽,於罽,,又於葛於介二切,
𦝲,𦝲,影,∅,開,三,祭B,祭,開三祭B,el,去,於罽,於罽,,,,𦝲臆,
䔽,䔽,影,∅,開,三,祭B,祭,開三祭B,el,去,於罽,於罽,於罽,,,清也又音藹,
藝,藝,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,魚祭,魚祭,,才能也靜也常也準也又姓出姓苑魚祭切八,
埶,埶,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,,,廢開,說文穜也周禮音世,
蓺,蓺,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,魚祭,魚祭,,上同,說文穜也周禮音世
寱,䆿,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,魚祭,魚祭,,睡語,
㦣,㦣,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,,,,上同,睡語
囈,囈,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,,,,亦同,
槸,槸,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,魚祭,魚祭,,樹枝相摩,
褹,褹,疑,ŋ̊,開,三,祭A,祭,開三祭A,ɪl,去,魚祭,魚祭,魚祭,,,字林云複襦也,
滯,滯,澄,ˀȡʱ,開,三,祭B,祭,開三祭B,el,去,直例,直例,直例,直例,,廢也止也凝也久也直例切七,
彘,彘,澄,ˀȡʱ,開,三,祭B,祭,開三祭B,el,去,直例,直例,直例,直例,脂,豕也又姓左傳有彘恭子,
蹛,蹛,澄,ˀȡʱ,開,三,祭B,祭,開三祭B,el,去,直例,直例,直例,直例,,蹛林又音帶,
銐,銐,澄,ˀȡʱ,開,三,祭B,祭,開三祭B,el,去,直例,直例,,直例,,除利也,
璏,璏,澄,ˀȡʱ,開,三,祭B,祭,開三祭B,el,去,直例,直例,直例,,,劒鼻玉也,
𦭮,𦭮,澄,ˀȡʱ,開,三,祭B,祭,開三祭B,el,去,直例,直例,直例,,,草補缺,
𩻼,𩻼,澄,ˀȡʱ,開,三,祭B,祭,開三祭B,el,去,直例,直例,,,,魚名,
例,例,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,比也皆也力制切二十五,
厲,厲,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,廢開,惡也亦嚴整也烈也猛也又姓漢有魏郡太守厲溫,
礪,礪,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,砥石,
勵,勵,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,勸勉,
禲,禲,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,無後鬼也,
癘,癘,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,疫癘,
㾐,㾐,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,,上同,疫癘
鮤,鮤,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,魚名又音列,
濿,濿,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,以衣渡水由膝已上爲濿亦作厲詩曰深則厲淺則揭說文又作砅履石渡水也,
砅,砅,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,介開,義見上注,以衣渡水由膝已上爲濿亦作厲詩曰深則厲淺則揭說文又作砅履石渡水也
蠣,蠣,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,牡蠣蚌屬,
蠇,蠇,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,,上同,牡蠣蚌屬
櫔,櫔,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,木名,
𩧃,𩧃,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,馬馳,
𩢾,䮋,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,,,上同,馬馳
䅀,䅀,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,力制,,黍穰,
𥣭,𥣭,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,,上同,黍穰
𧸱,𧸱,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,,𧸱貨,
糲,糲,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,,麤也又力達切,
巁,巁,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,巍也,
犡,犡,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,力制,,牛白脊,
栵,栵,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,,,栭栗又音列,
𢂥,𢂥,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,力制,,,帛餘亦作㡂,
𢤆,𢤆,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,,恐人,
洌,洌,來,l̺,開,三,祭A,祭,開三祭A,ɪl,去,力制,力制,,,,清水又音列,
憩,憩,溪,kʰ,開,三,祭B,祭,開三祭B,el,去,去例,去例,去例,去例,,息也去例切六,
𡳅,𡳅,溪,kʰ,開,三,祭B,祭,開三祭B,el,去,去例,去例,去例,,,上同,息也去例切六
䔾,䔾,溪,kʰ,開,三,祭B,祭,開三祭B,el,去,去例,去例,去例,去例,,䔾車草,
愒,愒,溪,kʰ,開,三,祭B,祭,開三祭B,el,去,去例,去例,去例,去例,,爾雅貪也說文息也,
揭,揭,溪,kʰ,開,三,祭B,祭,開三祭B,el,去,去例,去例,,去例,,褰衣渡水由膝已下曰揭,
甈,甈,溪,kʰ,開,三,祭B,祭,開三祭B,el,去,去例,去例,,去例,,爾雅康瓠謂之甈郭璞云瓠壺也賈誼曰寶康瓠是也,
世,丗,書,ʃ,開,三,祭A,祭,開三祭A,ɪl,去,舒制,舒制,舒制,舒制,廢開,代也又姓風俗通云戰國時有秦大夫世鈞舒制切三,
勢,勢,書,ʃ,開,三,祭A,祭,開三祭A,ɪl,去,舒制,舒制,舒制,舒制,,形勢,
貰,貰,書,ʃ,開,三,祭A,祭,開三祭A,ɪl,去,舒制,舒制,舒制,舒制,,賒也貸也又時夜切,
猘,猘,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,居厲,居例,,狂犬宋書云張收嘗爲猘犬所傷食蝦蟆膾而愈居例切八,
𦇧,𦇧,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,,居例,,氈類織毛爲之說文曰西胡毳布也,
罽,罽,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,居厲,居例,,上同說文曰魚网也,氈類織毛爲之說文曰西胡毳布也
𣯅,𣯅,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,居厲,,,亦同,
瀱,瀱,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,居厲,居例,,泉出皃,
訐,訐,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,居厲,居例,,持人短又居列切,
彐,彐,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,,,廢開,彙類說文作彑云豕之頭象其銳而上見也,
蘮,蘮,見,k,開,三,祭B,祭,開三祭B,el,去,居例,居例,居厲,居例,,蘮蒘似芹,
㿃,㿃,知,ȶ,開,三,祭B,祭,開三祭B,el,去,竹例,竹例,竹例,竹例,,赤白痢亦作䐭竹例切又音帶一,
偈,偈,群,ˀɡʱ,開,三,祭B,祭,開三祭B,el,去,其憩,其憩,其憩,其憩,,偈句其憩切一,
啜,啜,常,ʒ,合,三,祭A,祭,合三祭A,yɪl,去,嘗芮,嘗芮,市芮,市芮,,甞也嘗芮切又臣劣切一,
跇,跇,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,丑丗,,跳子踰也丑例切十一二,
𧼪,𧼪,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,,,上同,跳子踰也丑例切十一二
傺,傺,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,丑丗,,侘傺侘敕加切,
𢘽,𢘽,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,,,習也,
慸,慸,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,,,困劣,
㑜,㑜,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,,,,㑜刻,
䀸,䀸,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,,,瞥也,
䚢,䚢,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,,,𧢷也又丑列切,
揥,揥,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,,,佩飾,
䟷,䟷,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,,,,躍皃,
𨂰,𨂰,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,丑勢,,,渡也,
𥉻,𥉻,徹,ȶʰ,開,三,祭B,祭,開三祭B,el,去,丑例,丑例,,,,視也,
𨧨,𨮱,澄,ˀȡʱ,合,三,祭B,祭,合三祭B,ʉel,去,除芮,除芮,,,,曲刀也削竹也除芮切一,
㓷,㓷,疑,ŋ̊,開,三,祭B,祭,開三祭B,el,去,牛例,牛例,牛例,義例,,去鼻也牛例切一,
蕝,蕝,精,ts̺,合,三,祭A,祭,合三祭A,yɪl,去,子芮,子芮,子芮,子芮,,束茅表位子芮切又子悅切三,
𧑎,𧎹,精,ts̺,合,三,祭A,祭,合三祭A,yɪl,去,子芮,子芮,,,,蟲名又作會切,
㨹,㨹,精,ts̺,合,三,祭A,祭,合三祭A,yɪl,去,子芮,子芮,子芮,,,裂也,
潎,潎,滂,pʰ,開,三,祭A,祭,開三祭A,ɪl,去,匹蔽,匹蔽,,,,魚游水也匹蔽切一,
𥏙,𥏙,溪,kʰ,合,三,廢,祭,合三廢,œl,去,丘吠,丘吠,丘吠,,,𥏙䂕短皃丘吠切一,
䂕,䂕,曉,h,合,三,廢,祭,合三廢,œl,去,呼吠,呼吠,,,,短皃呼吠切一,
